Município,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total
260650 Iati,1.796,1.744,1.61,1.631,1.671,1.565,1.44,1.29,1.249,1.014,915,820,661,582,489,357,407,19.241
260660 Ibimirim,2.615,2.616,2.48,2.496,2.508,2.758,2.565,2.072,1.739,1.517,1.518,1.238,913,789,673,420,495,29.412
260670 Ibirajuba,595,597,556,589,632,605,595,579,517,442,408,381,305,239,269,182,277,7.768
260680 Igarassu,8.089,8.386,8.746,9.681,10.156,9.825,9.382,9.09,9.292,8.604,7.365,5.857,4.581,3.434,2.423,1.688,1.771,118.37
260690 Iguaracy,899,948,925,788,871,857,992,878,795,745,775,739,560,458,392,270,355,12.247
260760 Ilha de Itamaracá,1.594,1.677,1.923,2.471,2.81,2.147,2.424,2.276,2.168,1.792,1.525,1.193,926,676,473,298,299,26.672
260700 Inajá,2.577,2.493,2.455,2.459,2.182,2.06,2.076,1.659,1.263,1.009,907,764,573,380,350,203,235,23.645
260710 Ingazeira,301,316,306,351,369,381,367,300,319,265,293,223,207,168,153,101,123,4.543
260720 Ipojuca,8.384,8.517,8.894,9.457,9.279,8.657,8.069,8.088,7.052,5.778,4.814,3.514,2.52,1.7,1.308,769,869,97.669
260730 Ipubi,3.147,3.084,2.934,2.934,2.932,2.389,2.561,2.114,1.862,1.555,1.399,1.113,829,698,614,438,584,31.187
260740 Itacuruba,444,435,461,495,447,343,398,349,340,260,239,227,147,122,108,63,88,4.966
